case_id,bucket,category,reason_category,account_age_days,total_orders_at_time,total_returns_at_time,return_to_order_ratio,days_since_last_return,returns_last_30d,returns_last_90d,order_value,discount_pct,order_value_ratio,seller_return_rate,seller_age_days,shared_device_flag,email_verified,phone_verified,image_uploaded,within_return_window,days_left_to_return,is_non_returnable,narrative,expected_verdict,expected_reasoning_tag,notes
R1-01,R1,Electronics,wrong_item,900,12,1,0.08,180,0,1,45000,10,1.1,0.08,600,0,1,1,0,1,3,0,"Customer states 'I never received the package,' but delivery scan confirms drop-off with photo evidence at the registered address.",Escalate,R1,Hard contradiction but delivery proof is disputable (wrong address / doorstep theft) — do not auto-reject
R1-02,R1,Appliances,wrong_item,1500,20,2,0.1,300,0,0,62000,5,1.3,0.06,900,0,1,1,1,1,5,0,Customer claims non-delivery for a high-value appliance; carrier GPS log + signature capture both confirm delivery.,Escalate,R1,Same as R1-01 — signature capture is stronger evidence but still requires human judgment call
R1-03,R1,Beauty,wrong_item,60,2,0,0,-1,0,0,1200,0,1,0.09,400,0,0,0,0,1,6,0,"New, unverified account claims non-delivery on a low-value order; no delivery scan exists at all (genuinely ambiguous, not contradictory).",Escalate,"N/A - insufficient evidence, not R1","Distinguish from true R1: no delivery proof exists here, so this is an evidence gap (policy doc 05), not a contradiction"
R1-04,R1,Electronics,wrong_item,2200,35,3,0.086,90,1,2,18000,15,0.9,0.07,1100,0,1,1,0,1,2,0,Customer claims non-delivery; delivery scan exists but the account has 1 return already in the last 30 days for a similar claim.,Escalate,R1 + R4 corroboration,"Two weak-to-moderate signals combining — still Escalate, not auto-reject, since R1 alone never justifies reject"
R1-05,R1,Footwear,wrong_item,30,1,0,0,-1,0,0,3200,20,1,0.05,200,1,0,0,0,1,25,0,"Brand-new account, first order, claims non-delivery; delivery scan confirms drop-off; shared_device_flag is also set.",Escalate,R1 + R8 corroboration,New account + shared device + delivery contradiction — strong composite signal but still requires human review per R8's own instruction
R2-01,R2,Clothing,wrong_item,1000,15,2,0.13,120,0,0,1800,25,1,0.09,500,0,1,1,1,1,4,0,"Customer says 'wrong colour delivered — I ordered blue, got red.' Uploaded image and order record both show blue was delivered.",Escalate,R2,"Attribute mismatch is heuristic (image quality/lighting disputes possible) — human confirms, not auto-reject"
R2-02,R2,Electronics,wrong_item,1800,22,1,0.045,200,0,0,55000,8,1.4,0.06,1400,0,1,1,1,1,7,0,"Customer claims wrong model (16GB variant ordered, 8GB claimed received); order metadata confirms 16GB was shipped and delivered.",Escalate,R2,"Same pattern, higher value — still Escalate per R2, not elevated to Reject purely on order value"
R2-03,R2,Footwear,not_fit,500,8,1,0.125,60,0,0,2400,30,1.1,0.11,300,0,0,0,1,1,20,0,"Customer claims wrong size delivered (UK 9 ordered, UK 7 claimed received); image shows the correct size tag (UK 9) clearly visible.",Escalate,R2,Size-tag mismatch claim contradicted by visible evidence in the same photo the customer submitted
R2-04,R2,Beauty,wrong_item,3000,40,5,0.125,15,2,3,900,0,1,0.1,700,0,1,1,0,1,3,0,"Customer says shade/product mismatch; no image uploaded to verify either way, order record shows correct SKU shipped.",Escalate,R2 (weak) + evidence gap,"No image means R2 can't be confirmed visually — order record alone is one-sided; still escalate, not reject"
R2-05,R2,Electronics,wrong_item,1200,10,0,0,-1,0,0,28000,12,1.2,0.05,1800,0,1,1,1,1,8,0,First-time customer claims wrong item (received a different phone model); uploaded image genuinely shows a different device than ordered — a real Item Swap or fulfillment error.,Escalate,R2 boundary case → possibly Item Swap,Genuinely ambiguous whether this is customer fraud (R2) or a real fulfillment error (Item Swap) — must not auto-reject a first-time customer on this alone
R3-01,R3,Electronics,not_fit,400,5,0,0,-1,0,0,65000,5,3.2,0.07,850,0,1,1,0,1,6,0,"Customer returns 5 identical flagship phones in a single batch, all citing 'doesn't fit my needs.'",Escalate,R3,"Textbook R3 — bulk identical high-value items, resale/collusion pattern, not personal dissatisfaction"
